Year,Round,Institute,Course Name,Category,Opening Rank,Closing Rank,Program
2020,1,IIT BOMBAY,APPLIED GEOLOGY,GEN,1,13,APPLIED GEOLOGY
2020,1,IIT BOMBAY,APPLIED GEOPHYSICS,GEN,30,167,APPLIED GEOPHYSICS
2020,1,IIT BOMBAY,STATISTICS,GEN,2,38,STATISTICS
2020,1,IIT BOMBAY,BIOTECHNOLOGY,GEN,1,13,BIOTECHNOLOGY
2020,1,IIT BOMBAY,CHEMISTRY,GEN,1,27,CHEMISTRY
2020,1,IIT BOMBAY,MATHEMATICS,GEN,1,21,MATHEMATICS
2020,1,IIT BOMBAY,PHYSICS,GEN,3,35,PHYSICS
2020,1,IIT BOMBAY,ENERGY SCIENCE AND ENGINEERING,GEN,324,376,ENERGY SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENERGY SCIENCE AND ENGINEERING,GEN,286,286,ENERGY SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENERGY SCIENCE AND ENGINEERING,GEN,287,342,ENERGY SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENVIRONMENTAL SCIENCE AND ENGINEERING,GEN,16,16,ENVIRONMENTAL SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENVIRONMENTAL SCIENCE AND ENGINEERING,GEN,347,386,ENVIRONMENTAL SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENVIRONMENTAL SCIENCE AND ENGINEERING,GEN,274,274,ENVIRONMENTAL SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,ENVIRONMENTAL SCIENCE AND ENGINEERING,GEN,0,0,ENVIRONMENTAL SCIENCE AND ENGINEERING
2020,1,IIT BOMBAY,OPERATIONS RESEARCH,GEN,6,31,OPERATIONS RESEARCH
2020,1,IIT BOMBAY,OPERATIONS RESEARCH,GEN,41,49,OPERATIONS RESEARCH
2020,1,IIT DELHI,CHEMISTRY,GEN,2,83,CHEMISTRY
2020,1,IIT DELHI,MATHEMATICS,GEN,5,98,MATHEMATICS
2020,1,IIT DELHI,PHYSICS,GEN,9,124,PHYSICS
2020,1,IIT GUWAHATI,ECONOMICS,GEN,143,230,ECONOMICS
2020,1,IIT GUWAHATI,CHEMISTRY,GEN,71,187,CHEMISTRY
2020,1,IIT GUWAHATI,MATHEMATICS & COMPUTING,GEN,105,249,MATHEMATICS & COMPUTING
2020,1,IIT KANPUR,PHYSICS,GEN,26,86,PHYSICS
2020,1,IIT KANPUR,MATHEMATICS,GEN,33,113,MATHEMATICS
2020,1,IIT KANPUR,CHEMISTRY,GEN,1,64,CHEMISTRY
2020,1,IIT KANPUR,MATHEMATICS,GEN,1,47,MATHEMATICS
2020,1,IIT KANPUR,PHYSICS,GEN,27,104,PHYSICS
2020,1,IIT KHARAGPUR,STATISTICS,GEN,33,150,STATISTICS
2020,1,IIT KHARAGPUR,PHYSICS,GEN,15,45,PHYSICS
2020,1,IIT KHARAGPUR,CHEMISTRY,GEN,56,195,CHEMISTRY
2020,1,IIT KHARAGPUR,GEOLOGY,GEN,50,211,GEOLOGY
2020,1,IIT KHARAGPUR,MATHEMATICS,GEN,85,133,MATHEMATICS
2020,1,IIT KHARAGPUR,PHYSICS,GEN,298,464,PHYSICS
2020,1,IIT KHARAGPUR,GEOPHYSICS,GEN,76,406,GEOPHYSICS
2020,1,IIT KHARAGPUR,GEOPHYSICS,GEN,324,464,GEOPHYSICS
2020,1,IIT KHARAGPUR,MEDICAL PHYSICS,GEN,15,33,MEDICAL PHYSICS
2020,1,IIT MADRAS,NUCLEAR MEDICINE,GEN,128,240,NUCLEAR MEDICINE
2020,1,IIT MADRAS,MOLECULAR MEDICAL MICROBIOLOGY,GEN,23,128,MOLECULAR MEDICAL MICROBIOLOGY
2020,1,IIT MADRAS,CHEMISTRY,GEN,69,166,CHEMISTRY
2020,1,IIT ROORKEE,MATHEMATICS,GEN,22,45,MATHEMATICS
2020,1,IIT ROORKEE,PHYSICS,GEN,20,41,PHYSICS
2020,1,IIT ROORKEE,APPLIED GEOLOGY,GEN,59,160,APPLIED GEOLOGY
2020,1,IIT ROORKEE,CHEMISTRY,GEN,113,161,CHEMISTRY
2020,1,IIT ROORKEE,ECONOMICS,GEN,142,210,ECONOMICS
2020,1,IIT ROORKEE,MATHEMATICS,GEN,134,531,MATHEMATICS
2020,1,IIT ROORKEE,PHYSICS,GEN,207,398,PHYSICS
2020,1,IIT BHUBANESWAR,CHEMISTRY,GEN,197,324,CHEMISTRY
2020,1,IIT BHUBANESWAR,MATHEMATICS,GEN,272,357,MATHEMATICS
2020,1,IIT BHUBANESWAR,PHYSICS,GEN,83,111,PHYSICS
2020,1,IIT BHUBANESWAR,GEOLOGY,GEN,127,205,GEOLOGY
2020,1,IIT GANDHINAGAR,ATMOSPHERE & OCEAN SCIENCES,GEN,245,285,ATMOSPHERE & OCEAN SCIENCES
2020,1,IIT GANDHINAGAR,CHEMISTRY,GEN,131,286,CHEMISTRY
